,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t9,1190.444,1109.714,371.218,1410.326,2320.621,2516.998,741.903,1243.568,0,0,0,0,0,0,0
t10,1242.625,1196.753,359.729,1456.372,2457.772,2667.599,804.601,1299.282,0,0,0,0,0,0,0
t11,1319.166,1256.308,336.14,1509.185,2584.354,2821.217,862.185,1368.522,0,0,0,0,0,0,0
t12,1316.264,1306.934,294.637,1581.277,2707.529,3038.251,914.989,1448.931,0,0,0,0,0,0,0
t13,1304.243,1354.09,268.28,1672.906,2835.412,3266.372,963.546,1536.829,0,0,0,0,0,0,0
t14,1311.407,1394.314,292.049,1768.365,2926.74,3469.733,987.177,1621.928,0,0,0,0,0,0,0
t15,1329.297,1432.852,293.529,1845.683,3033.463,3649.281,1036.022,1728.064,0,0,0,0,0,0,0
t16,1364.129,1504.189,341.147,1952.352,3169.036,3873.258,1081.183,1863.321,0,0,0,0,0,0,0
t17,1420.92,1592.547,442.815,2108.085,3314.607,4134.857,1132.288,2014.428,0,0,0,0,0,0,0
t18,1443.571,1665.937,547.137,2259.749,3435.705,4337.73,1164.776,2160.795,0,0,0,0,0,0,0
t19,1436.983,1663.991,622.93,2327.587,3460.467,4374.859,1160.258,2215.004,0,0,0,0,0,0,0
t20,1419.944,1620.524,655.828,2304.159,3398.153,4281.802,1122.113,2169.657,0,0,0,0,0,0,0
t21,1403.148,1584.27,668.083,2282.923,3353.693,4182.192,1102.393,2112.582,0,0,0,0,0,0,0
t22,1317.866,1481.256,652.473,2181.122,3246.394,3965.662,1048.248,1990.643,0,0,0,0,0,0,0
t23,1198.223,1334.604,603.079,2001.901,3048.509,3579.246,957.501,1789.96,0,0,0,0,0,0,0
t24,1113.226,1232.173,549.216,1832.593,2812.668,3207.119,869.286,1609.356,0,0,0,0,0,0,0
t1,954.391,913.349,462.276,1376.589,1947.89,2242.935,632.646,1153.98,0,0,0,0,0,0,0
t2,936.423,886.036,448.265,1335.472,1881.252,2158.85,612.56,1114.474,0,0,0,0,0,0,0
t3,920.891,878.396,442.489,1317.992,1849.499,2115.326,600.45,1095.472,0,0,0,0,0,0,0
t4,932.21,888.395,444.112,1315.32,1854.687,2115.408,599.672,1096.582,0,0,0,0,0,0,0
t5,962.179,929.041,461.32,1362.202,1903.372,2180.888,623.075,1137.88,0,0,0,0,0,0,0
t6,1068.271,1022.555,498.661,1474.349,2042.517,2375.656,655.119,1226.829,0,0,0,0,0,0,0
t7,1198.401,1157.383,540.272,1625.556,2261.591,2672.973,724.859,1352.37,0,0,0,0,0,0,0
t8,1245.47,1219.804,505.674,1653.019,2375.017,2793.585,775.385,1372.999,0,0,0,0,0,0,0
t9,1224.172,1220.269,405.029,1569.181,2377.313,2717.862,789.391,1300.891,0,0,0,0,0,0,0
t10,1205,1201.374,315.636,1477.409,2346.085,2605.394,792.03,1226.458,0,0,0,0,0,0,0
t11,1188.963,1190.758,267.639,1418.724,2322.012,2529.979,791.215,1205.57,0,0,0,0,0,0,0
t12,1171.194,1182.405,251.253,1393.381,2316.8,2482.625,792.993,1243.158,0,0,0,0,0,0,0
t13,1166.017,1173.816,229.887,1372.653,2316.639,2464.466,806.695,1255.259,0,0,0,0,0,0,0
t14,1151.277,1166.442,234.228,1366.974,2290.03,2478.279,799.599,1187.826,0,0,0,0,0,0,0
t15,1154.134,1154.922,237.471,1364.514,2282.171,2496.762,775.853,1122.006,0,0,0,0,0,0,0
t16,1161.687,1156.988,265.91,1401.356,2305.547,2564.67,762.686,1150.003,0,0,0,0,0,0,0
t17,1202.056,1174.483,331.664,1492.947,2369.743,2696.098,774.246,1254.748,0,0,0,0,0,0,0
t18,1227.149,1224.001,433.731,1621.711,2450.859,2859.364,794.463,1384.239,0,0,0,0,0,0,0
t19,1268.345,1252.393,536.537,1726.219,2477.866,2980.611,810.135,1491.906,0,0,0,0,0,0,0
t20,1277.88,1252.886,587.709,1766.687,2494.711,3030.81,822.179,1544.87,0,0,0,0,0,0,0
t21,1270.179,1251.644,596.056,1786.409,2502.682,3071.552,835.516,1563.268,0,0,0,0,0,0,0
t22,1197.295,1169.644,572.814,1697.407,2387.588,2900.048,793.116,1471.739,0,0,0,0,0,0,0
t23,1113.678,1052.051,529.055,1554.785,2211.765,2606.444,728.321,1332.305,0,0,0,0,0,0,0
t24,1007.853,960.19,481.244,1433.838,2038.511,2363.46,664.665,1208.948,0,0,0,0,0,0,0
t1,1422.705,1543.853,659.852,2267.87,3710.132,4077.427,1189.264,2249.354,0,0,0,0,0,0,0
t2,1370.118,1481.982,631.076,2163.788,3564.986,3872.375,1141.686,2139.906,0,0,0,0,0,0,0
t3,1341.565,1446.998,610.651,2089.516,3474.317,3737.799,1115.426,2071.315,0,0,0,0,0,0,0
t4,1325.704,1419.053,597.745,2050.021,3433.941,3677.615,1097.173,2037.883,0,0,0,0,0,0,0
